"access_info"
"05:00~21:00, 정시"
"10~19, 정시"
"08:30~20:30, 정시"
"06;00~21:00(평일)"
"폐쇄"
"07~23"
"12시간"
"19시간, 정시"
"센터 운영시간, 정시"
"06:00`24:00"
"06:00~18:00"
"05:00~23:00"
"05:00-24:00, 정시"
"09:00~16:30, 정시"
"08:00~19:00, 정시"
"08:00~22:00, 정시"
"09:00~18:00(공휴일제외), 정시"
"09:30-20:00 +일요일폐쇄, 정시"
"정시(07:00~23:00), 정시"
"04:00~01:00"
"09:00~18:00(평일), 정시"
"(월~금)09:00~18:00, 정시"
"08:00~21:00, 정시"
"09:00~1800"
"05:30-23:00, 정시"
"평일09-22시, 주말 09~22시(일요일 휴관), 정시"
"06~24"
"09:00~22:00, 정시"
"00~24, 상시"
"09:30∼18:30, 정시"
"06:30~21:00"
"15시간"
"09~20"
"월~금09:00~18:00, 정시"
"08~19, 정시"
"04:00~24:00, 상시"
"09:00~22:00(평일),09:00~18:00(토,일),(1,3주월요일,국경일및대체공휴일미개방), 정시"
"09:00 ~ 18:00"
"09:00-18:30, 정시"
"(평일)08:00~22:00+(주말)06:00~22:00, 정시"
"04:00~24:00, 정시"
"(11월~3월)08:00-17:00/(4월~10월)08:00-18:00, 정시"
"09:00~18:00(화요일미개방), 불규칙"
"9시~18시"
"08:00~24:00"
"9~18, 정시"
"(평일)09:00~18:00+(휴일)09:00~18:00, 정시"
"09:00~21:00(화~금), 토(09:00~18:)"
"07:00-21:00, 정시"
"(평일)09:00-20:00+(주말)09:00~17:00, 정시"
"-"
"09:00∼18:00, 정시"
"(평일)05:00~23:00+(휴일)05:00~23:00, 정시"
"10:00~22:00"
"(평일)9:00~18:00+(토)9:00~15:00, 정시"
"05:00~12:00"
"09:00~ 18:00, 정시"
"11:00~23:00"
"10:00~21:00, 정시"
"18시간, 정시"
"09:00~21:30, 정시"
"05:00~23:00, 상시"
"10:00-20:00, 정시"
"08~18시, 정시"
"05:00-17:00, 정시"
"00:00~24:00 (05:00~24:00  매주월요일), 정시"
"08:00~00:00, 정시"
"06:00~23:00"
"(평일)09:00~18:00, 정시"
"08:00~19:30, 정시"
"10:00~18:00 주말및공휴일 미개방, 정시"
"08:00~익일01:01"
"07:00-22:00, 정시"
"주말및공휴일 미개방, 정시"
"24시간"
"18시간"
"08-22시, 정시"
"00:00~00:00, 정시"
"00:00~23:50"
"08:00~17:00, 정시"
"08:30~00:00, 정시"
"06:00~20:30, 정시"
"04:00-23:00, 정시"
"07:00~19:00, 정시"
"06:00~24:00, 상시"
"(평일) 09:00~18:00, 정시"
"10:00-18:00+ 월요일휴관, 정시"
"09:00~18:00, 정시"
"11:00~23:00, 정시"
"05:00-22:00, 정시"
"09:30~18:00"
"09:00~18:00 주말및공휴일 미개방, 정시"
"09:00-24:00, 정시"
"10:00~20:00"
"10:00~21:00(평일) 10:00~18:00(주말), 불규칙"
"평일9시간(09:00~18:00), 정시"
"14:00~24:00"
"08:00~10:00, 정시"
"평일(06:00~22:00) 주말(09:00~17:00), 정시"
"05~24, 상시"
"09:00-21:00, 정시"
"05:00~01:00"
"07:00~23:50"
"10:00~24:00, 상시"
"08:00 ~ 21:00, 정시"
"06:00-21:00, 정시"
"10:00-18:00, 정시"
"정시(09:00~18:00)"
"06:00~23:00 토-일06:00~22:00, 정시"
"09:30~17:30"
"13시간, 정시"
"06시~22시"
"09:30-21:00, 정시"
"(평일)06:00~20:30+(주말)07:00~12:30, 정시"
"07:00~23:30, 정시"
"09:00~24:00, 정시"
"운영시간내, 불규칙"
"07:00~18:00, 정시"
"07~21"
"화~금 09:00~22:00, 토 09:00~18:00, 일 09:00~17:00, 정시"
"8시간"
"09시~19시, 정시"
"09:00~19:00, 불규칙"
"08:00~22:00"
"10:30-20:30, 정시"
"10:00~19:00, 정시"
"09:00-16:00, 정시"
"16시간"
"(평일) 09:00-20:00+(주말) 09:00-17:00, 정시"
"(평일)09:00~17:00, 정시"
"05:30~20:00, 정시"
"07:00~22:00, 정시"
"07:00~20:00, 정시"
"미개방, 미개방요일"
"11:00~20:00, 상시"
"보안상      미개방, 미개방요일"
"10:00~17:00, 정시"
"9시간, 정시"
"07:00~23:00, 정시"
"영업시간 내, 정시"
"09 ~ 18, 정시"
"6시30분~23시, 정시"
"09:00-19:30, 정시"
"24시간 개방(동절기 제외), 정시"
"06:00~21:00(일요일미개방), 정시"
"9시간"
"(월~금) 09:00-18:00, 정시"
"10:00~23:00"
"07:00-익일01:00, 정시"
"05:00~00:30, 정시"
"10:00-21:00, 정시"
"(평일) 09:00~21:00+(주말) 09:00~18:00, 정시"
"13:00~26:00"
"05:00~22:00"
"07:00-20:00, 정시"
"06:00~23:30, 정시"
"03:00~22:00, 정시"
"05:00~21:00"
"07:00~:21:00"
"06:00~20:00, 정시"
"09:00~19:00, 상시"
"04:00~20:00, 정시"
"09:00~13:30, 정시"
"07:00~22:30, 정시"
"09:00~110:00, 정시"
"미개방, 불규칙"
"05:00~대관마감시간까지"
"10~22"
"(평일)09:00-17:30, 불규칙"
"05:30``22:00"
"10:00-19:00, 정시"
"05~24, 정시"
"04:30~23:30, 정시"
"운행시간 내, 정시"
"월-금06:00~22:00 토 9:00~12:00 공휴일 휴관, 정시"
"정시(09:00~18:00), 정시"
"08:30-16:30, 정시"
"(평월)09:00-18:00+(동절기)09:00-17:00, 정시"
"5:00~24:00, 정시"
"(평일)06:00~22:00+(주말)07:00~17:00, 정시"
"(평일)08:00~21:00+(휴일)08:00~21:00, 정시"
"09:00∼8:00, 정시"
"07:00-20:00+일요일격주휴무, 정시"
"05~24시간, 상시"
"09:00-18:00+(토)09:00-13:30+(휴일)10:00-14:00, 정시"
"월-금06:00~22:00 토-일09:00~18:00 공휴일 휴관, 정시"
"09:00~21:00, 상시"
"08:00~익일05:00, 정시"
"11:00~22:00, 정시"
